#GeneID,Symbol,GeneInfo,Localization,Process,Function,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,Minimum Effect 95% Credible Interval Estimate,Maximum Effect 95% Credible Interval Estimate
ENSG00000077044,DGKD,"diacylglycerol kinase, delta 130kDa",cytoplasm|plasma membrane|plasma membrane|cytoplasmic membrane-bounded vesicle|,endocytosis|signal transduction|epidermal growth factor receptor signaling pathway|protein kinase C-activating G-protein coupled receptor signaling pathway|multicellular organismal development|blood coagulation|response to organic substance|protein transport|cell growth|phosphorylation|second-messenger-mediated signaling|platelet activation|diacylglycerol metabolic process|diacylglycerol metabolic process|protein homooligomerization|,NAD+ kinase activity|diacylglycerol kinase activity|diacylglycerol kinase activity|protein binding|ATP binding|diacylglycerol binding|protein homodimerization activity|metal ion binding|protein heterodimerization activity|,10,0.3,0.983,10,0.2,0.253,0.2,1.09,-1.3,1.4
ENSG00000135829,DHX9,DEAH (Asp-Glu-Ala-His) box helicase 9,nucleus|nucleoplasm|nucleolus|cytoplasm|centrosome|cytosol|membrane|ribonucleoprotein complex|cytoplasmic ribonucleoprotein granule|CRD-mediated mRNA stability complex|,"mRNA splicing, via spliceosome|osteoblast differentiation|ATP catabolic process|ATP catabolic process|circadian rhythm|RNA splicing|gene expression|positive regulation of type I interferon production|DNA duplex unwinding|cellular response to heat|innate immune response|CRD-mediated mRNA stabilization|",RNA polymerase II transcription factor binding|DNA binding|RNA helicase activity|ATP-dependent DNA helicase activity|ATP-dependent RNA helicase activity|protein binding|ATP binding|poly(A) RNA binding|,9,-1.1,10.2,10,-3.1,40,-3.1,44.4,-5.2,-2.2
ENSG00000132535,DLG4,"discs, large homolog 4 (Drosophila)",cytoplasm|endoplasmic reticulum|plasma membrane|plasma membrane|synaptic vesicle|ionotropic glutamate receptor complex|postsynaptic density|cell junction|endocytic vesicle membrane|cortical cytoskeleton|extrinsic component of cytoplasmic side of plasma membrane|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|dendrite cytoplasm|juxtaparanode region of axon|neuron projection terminus|neuron spine|synapse|postsynaptic membrane|excitatory synapse|neuronal postsynaptic density|,negative regulation of receptor internalization|protein complex assembly|signal transduction|positive regulation of cytosolic calcium ion concentration|synaptic transmission|nervous system development|axon guidance|learning|synaptic vesicle maturation|social behavior|protein localization to synapse|locomotory exploration behavior|establishment of protein localization|regulation of long-term neuronal synaptic plasticity|positive regulation of synaptic transmission|neuromuscular process controlling balance|dendritic spine morphogenesis|vocalization behavior|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering|receptor localization to synapse|regulation of N-methyl-D-aspartate selective glutamate receptor activity|positive regulation of excitatory postsynaptic membrane potential|regulation of grooming behavior|,protein binding|protein C-terminus binding|protein phosphatase binding|PDZ domain binding|beta-1 adrenergic receptor binding|D1 dopamine receptor binding|P2Y1 nucleotide receptor binding|protein complex binding|acetylcholine receptor binding|ionotropic glutamate receptor binding|scaffold protein binding|,10,-2.4,23,10,-1.2,3.36,-2.3,23.8,-3.9,-1.5
ENSG00000130816,DNMT1,DNA (cytosine-5-)-methyltransferase 1,nucleus|replication fork|centromeric heterochromatin|,"negative regulation of transcription from RNA polymerase II promoter|DNA methylation|transcription, DNA-templated|maintenance of DNA methylation|positive regulation of gene expression|gene silencing|chromatin modification|regulation of cell proliferation|positive regulation of histone H3-K4 methylation|negative regulation of histone H3-K9 methylation|cellular response to amino acid stimulus|C-5 methylation of cytosine|",DNA binding|chromatin binding|RNA binding|DNA (cytosine-5-)-methyltransferase activity|protein binding|transcription factor binding|zinc ion binding|methyl-CpG binding|DNA-methyltransferase activity|,10,0.7,2.47,10,1.1,5.94,0.9,7.17,-0.1,2
ENSG00000119772,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,"chromosome, centromeric region|euchromatin|nucleus|nuclear heterochromatin|cytoplasm|nuclear matrix|",negative regulation of transcription from RNA polymerase II promoter|DNA methylation|methylation-dependent chromatin silencing|regulation of gene expression by genetic imprinting|spermatogenesis|DNA methylation on cytosine within a CG sequence|DNA methylation involved in embryo development|DNA methylation involved in gamete generation|hypermethylation of CpG island|S-adenosylhomocysteine metabolic process|S-adenosylmethioninamine metabolic process|cellular response to amino acid stimulus|C-5 methylation of cytosine|C-5 methylation of cytosine|,"DNA binding|chromatin binding|DNA (cytosine-5-)-methyltransferase activity|protein binding|unmethylated CpG binding|metal ion binding|DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates|",10,-0.1,0.0279,10,0.1,0.43,0.1,0.303,-1.3,1.6
ENSG00000088305,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,nucleus|nuclear heterochromatin|cytoplasm|intracellular membrane-bounded organelle|,negative regulation of transcription from RNA polymerase II promoter|DNA methylation|DNA methylation|methylation-dependent chromatin silencing|regulation of gene expression by genetic imprinting|response to ionizing radiation|DNA methylation on cytosine within a CG sequence|positive regulation of gene expression|protein complex localization|response to drug|positive regulation of neuron differentiation|S-adenosylhomocysteine metabolic process|S-adenosylmethioninamine metabolic process|positive regulation of histone H3-K4 methylation|negative regulation of histone H3-K9 methylation|cellular response to amino acid stimulus|C-5 methylation of cytosine|,"transcription corepressor activity|transcription corepressor activity|DNA (cytosine-5-)-methyltransferase activity|DNA (cytosine-5-)-methyltransferase activity|DNA (cytosine-5-)-methyltransferase activity|protein binding|DNA-methyltransferase activity|unmethylated CpG binding|metal ion binding|DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates|",10,-0.4,3.33,10,-0.6,2.38,-0.4,5.14,-1.4,0.2
ENSG00000149295,DRD2,dopamine receptor D2,acrosomal vesicle|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|postsynaptic density|lateral plasma membrane|endocytic vesicle|axon|dendrite|synaptic vesicle membrane|sperm flagellum|dendritic spine|perikaryon|axon terminus|,"temperature homeostasis|response to hypoxia|synaptic transmission, dopaminergic|response to amphetamine|neurological system process involved in regulation of systemic arterial blood pressure|regulation of heart rate|regulation of sodium ion transport|G-protein coupled receptor internalization|positive regulation of neuroblast proliferation|positive regulation of receptor internalization|cellular calcium ion homeostasis|negative regulation of adenylate cyclase activity|negative regulation of adenylate cyclase activity|adenylate cyclase-inhibiting dopamine receptor signaling pathway|adenylate cyclase-inhibiting dopamine receptor signaling pathway|neuron-neuron synaptic transmission|axonogenesis|synapse assembly|sensory perception of smell|long-term memory|grooming behavior|locomotory behavior|adult walking behavior|feeding behavior|protein localization|negative regulation of cell proliferation|associative learning|visual learning|response to light stimulus|response to toxic substance|response to iron ion|response to inactivity|Wnt signaling pathway|striatum development|orbitofrontal cortex development|cerebral cortex GABAergic interneuron migration|adenohypophysis development|negative regulation of cell migration|peristalsis|regulation of cAMP metabolic process|auditory behavior|activation of protein kinase activity|regulation of synaptic transmission, GABAergic|positive regulation of cytokinesis|circadian regulation of gene expression|negative regulation of dopamine secretion|response to histamine|response to nicotine|intracellular signal transduction|positive regulation of urine volume|positive regulation of renal sodium excretion|positive regulation of multicellular organism growth|response to cocaine|negative regulation of circadian sleep/wake cycle, sleep|dopamine metabolic process|response to drug|regulation of potassium ion transport|response to morphine|pigmentation|regulation of phosphoprotein phosphatase activity|positive regulation of G-protein coupled receptor protein signaling pathway|negative regulation of blood pressure|positive regulation of transcription from RNA polymerase II promoter|phosphatidylinositol metabolic process|negative regulation of insulin secretion|behavioral response to cocaine|behavioral response to ethanol|regulation of long-term neuronal synaptic plasticity|response to axon injury|branching morphogenesis of a nerve|arachidonic acid secretion|negative regulation of protein secretion|release of sequestered calcium ion into cytosol|negative regulation of cytosolic calcium ion concentration|positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway|regulation of dopamine uptake involved in synaptic transmission|positive regulation of dopamine uptake involved in synaptic transmission|regulation of synapse structural plasticity|negative regulation of protein kinase B signaling|negative regulation of synaptic transmission, glutamatergic|positive regulation of growth hormone secretion|prepulse inhibition|phospholipase C-activating dopamine receptor signaling pathway|negative regulation of dopamine receptor signaling pathway|positive regulation of ERK1 and ERK2 cascade|regulation of locomotion involved in locomotory behavior|positive regulation of long-term synaptic potentiation|negative regulation of voltage-gated calcium channel activity|negative regulation of voltage-gated calcium channel activity|","dopamine neurotransmitter receptor activity, coupled via Gi/Go|protein binding|drug binding|potassium channel regulator activity|dopamine binding|ionotropic glutamate receptor binding|identical protein binding|protein homodimerization activity|protein heterodimerization activity|",10,0.1,0.102,10,0.1,0.612,0.1,0.656,-1.2,1.7
ENSG00000181090,EHMT1,euchromatic histone-lysine N-methyltransferase 1,nucleus|nucleus|nucleus|nucleoplasm|chromosome|cytoplasm|plasma membrane|,"negative regulation of transcription from RNA polymerase II promoter|DNA methylation|embryo development|chromatin modification|histone methylation|peptidyl-lysine monomethylation|peptidyl-lysine dimethylation|negative regulation of transcription, DNA-templated|histone H3-K9 methylation|histone H3-K27 methylation|",p53 binding|protein binding|methyltransferase activity|zinc ion binding|protein-lysine N-methyltransferase activity|histone-lysine N-methyltransferase activity|histone methyltransferase activity (H3-K9 specific)|histone methyltransferase activity (H3-K27 specific)|,9,-2,4.75,9,-1.4,20.9,-1.9,23.5,-3.2,-0.9
ENSG00000204371,EHMT2,euchromatic histone-lysine N-methyltransferase 2,nucleus|nucleoplasm|chromosome|,negative regulation of transcription from RNA polymerase II promoter|regulation of DNA replication|DNA methylation|synaptonemal complex assembly|spermatid development|fertilization|DNA methylation on cytosine within a CG sequence|histone methylation|peptidyl-lysine dimethylation|organ growth|histone H3-K9 methylation|histone H3-K27 methylation|,p53 binding|protein binding|zinc ion binding|protein-lysine N-methyltransferase activity|histone-lysine N-methyltransferase activity|histone methyltransferase activity (H3-K9 specific)|histone methyltransferase activity (H3-K27 specific)|C2H2 zinc finger domain binding|,10,0,0,10,-0.2,1.31,-0.2,0.882,-1.6,1.1
ENSG00000012061,ERCC1,excision repair cross-complementation group 1,"nucleotide-excision repair complex|nuclear chromosome, telomeric region|nucleus|nucleoplasm|transcription factor TFIID complex|cytoplasm|","nucleotide-excision repair, DNA damage removal|pyrimidine dimer repair by nucleotide-excision repair|DNA catabolic process, endonucleolytic|replicative cell aging|DNA repair|transcription-coupled nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair, DNA incision, 3'-to lesion|nucleotide-excision repair, DNA incision, 5'-to lesion|double-strand break repair|DNA recombination|mitotic recombination|syncytium formation|response to oxidative stress|spermatogenesis|response to nutrient|cell proliferation|male gonad development|UV protection|response to sucrose|response to X-ray|multicellular organismal aging|negative regulation of telomere maintenance|post-embryonic hemopoiesis|multicellular organism growth|isotype switching|oogenesis|embryonic organ development|chromosome organization|",single-stranded DNA endodeoxyribonuclease activity|TFIID-class transcription factor binding|damaged DNA binding|single-stranded DNA binding|protein binding|protein C-terminus binding|TBP-class protein binding|protein domain specific binding|structure-specific DNA binding|,10,1.4,37.4,10,1,24.1,1.3,59.5,0.8,1.8
ENSG00000175595,ERCC4,excision repair cross-complementation group 4,"nucleotide-excision repair complex|nucleotide-excision repair factor 1 complex|chromosome, telomeric region|nuclear chromosome, telomeric region|nucleus|nucleoplasm|transcription factor TFIID complex|","resolution of meiotic recombination intermediates|nucleotide-excision repair, DNA damage removal|telomere maintenance|double-strand break repair via homologous recombination|DNA catabolic process, endonucleolytic|DNA catabolic process, endonucleolytic|DNA repair|DNA repair|transcription-coupled nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair, DNA incision, 3'-to lesion|nucleotide-excision repair, DNA incision, 5'-to lesion|response to UV|UV protection|telomere maintenance via telomere shortening|negative regulation of telomere maintenance|nucleotide-excision repair, DNA incision|nucleotide-excision repair involved in interstrand cross-link repair|",single-stranded DNA endodeoxyribonuclease activity|TFIID-class transcription factor binding|damaged DNA binding|single-stranded DNA binding|endodeoxyribonuclease activity|endodeoxyribonuclease activity|protein binding|protein C-terminus binding|structure-specific DNA binding|protein N-terminus binding|,10,1.2,35.6,10,1.4,76.1,1.3,111,1,1.7
ENSG00000134899,ERCC5,excision repair cross-complementation group 5,"nucleus|nucleoplasm|DNA replication factor A complex|holo TFIIH complex|DNA-directed RNA polymerase II, holoenzyme|intermediate filament cytoskeleton|","nucleotide-excision repair, DNA damage removal|DNA catabolic process, endonucleolytic|DNA repair|transcription-coupled nucleotide-excision repair|transcription-coupled nucleotide-excision repair|nucleotide-excision repair|nucleotide-excision repair, DNA incision, 3'-to lesion|nucleotide-excision repair, DNA incision, 3'-to lesion|response to UV|response to UV|UV protection|response to UV-C|negative regulation of apoptotic process|",bubble DNA binding|double-stranded DNA binding|single-stranded DNA binding|endonuclease activity|endodeoxyribonuclease activity|protein binding|protein homodimerization activity|metal ion binding|protein N-terminus binding|,10,0,0,10,0,0,0,0,-1.5,1.5
ENSG00000225830,ERCC6,excision repair cross-complementation group 6,nucleus|nucleoplasm|nucleoplasm|nucleolus|transcription elongation factor complex|,"response to superoxide|ATP catabolic process|DNA repair|transcription-coupled nucleotide-excision repair|transcription-coupled nucleotide-excision repair|base-excision repair|nucleotide-excision repair|pyrimidine dimer repair|transcription from RNA polymerase II promoter|response to oxidative stress|activation of JNKK activity|activation of JUN kinase activity|intrinsic apoptotic signaling pathway in response to DNA damage|response to UV|response to toxic substance|response to X-ray|response to UV-B|response to gamma radiation|regulation of DNA-templated transcription, elongation|positive regulation of DNA-templated transcription, elongation|multicellular organism growth|photoreceptor cell maintenance|",DNA binding|chromatin binding|protein binding|ATP binding|protein C-terminus binding|DNA-dependent ATPase activity|protein complex binding|protein N-terminus binding|,5,-0.3,0.771,5,-0.7,5.54,-0.5,5.08,-1.9,0
ENSG00000258838,ERCC6-PGBD3,ERCC6-PGBD3 readthrough,None,None,None,5,0,0,5,0,0,0,0,-1.6,1.8
ENSG00000108799,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,nucleus|ESC/E(Z) complex|,"negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|anatomical structure morphogenesis|histone H3-K27 methylation|",chromatin binding|histone methyltransferase activity (H3-K27 specific)|,10,0.3,1.08,10,0.3,3.62,0.3,4.45,-0.6,1.2
ENSG00000106462,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,nuclear chromatin|nucleus|nucleoplasm|cytoplasm|ESC/E(Z) complex|pronucleus|,"negative regulation of transcription from RNA polymerase II promoter|chromatin organization|transcription, DNA-templated|regulation of transcription, DNA-templated|positive regulation of epithelial to mesenchymal transition|regulation of gliogenesis|cerebellar cortex development|positive regulation of Ras GTPase activity|negative regulation of transcription elongation from RNA polymerase II promoter|regulation of cell proliferation|positive regulation of MAP kinase activity|negative regulation of epidermal cell differentiation|negative regulation of gene expression, epigenetic|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|negative regulation of striated muscle cell differentiation|G1 to G0 transition|histone H3-K27 methylation|positive regulation of protein serine/threonine kinase activity|negative regulation of G1/S transition of mitotic cell cycle|",core promoter binding|DNA binding|chromatin binding|RNA binding|protein binding|chromatin DNA binding|histone methyltransferase activity|sequence-specific DNA binding|histone methyltransferase activity (H3-K27 specific)|,10,0,0,10,0.4,8.34,0.4,6.71,0,1.1
ENSG00000163946,FAM208A,"family with sequence similarity 208, member A",None,None,poly(A) RNA binding|,10,4,161,10,4.1,156,4.1,316,3.7,4.8
ENSG00000108021,FAM208B,"family with sequence similarity 208, member B",None,None,None,10,-0.5,4.14,10,-0.9,27.9,-0.8,30.1,-1.3,-0.5
ENSG00000153347,FAM81B,"family with sequence similarity 81, member B",nucleus|,None,None,10,-0.4,1.23,10,0,0,0,0,-1.8,1.1
ENSG00000198690,FAN1,FANCD2/FANCI-associated nuclease 1,nucleus|,"double-strand break repair via homologous recombination|DNA catabolic process, endonucleolytic|DNA repair|nucleotide-excision repair|nucleotide-excision repair, DNA incision|nucleotide-excision repair, DNA incision|",magnesium ion binding|DNA binding|phosphodiesterase I activity|protein binding|5'-3' exonuclease activity|5'-flap endonuclease activity|ubiquitin binding|,10,0,0,10,0,0,0,0,-1.7,1.5
ENSG00000187741,FANCA,"Fanconi anemia, complementation group A",nucleus|nucleoplasm|nucleolus|cytoplasm|Fanconi anaemia nuclear complex|,DNA repair|protein complex assembly|male meiosis|male gonad development|female gonad development|regulation of cell proliferation|,protein binding|,10,1.2,34.4,10,1.4,74.7,1.3,109,1.1,1.8
ENSG00000181544,FANCB,"Fanconi anemia, complementation group B",nucleoplasm|Fanconi anaemia nuclear complex|,DNA repair|,protein binding|,10,1.6,123,10,1.6,126,1.6,248,1.4,2
ENSG00000158169,FANCC,"Fanconi anemia, complementation group C",nucleus|nucleoplasm|cytoplasm|cytosol|Fanconi anaemia nuclear complex|,myeloid cell homeostasis|DNA repair|nucleotide-excision repair|protein complex assembly|germ cell development|removal of superoxide radicals|,protein binding|,8,1.2,30.4,8,2.4,46.7,1.7,71.1,1.2,3.1
ENSG00000144554,FANCD2,"Fanconi anemia, complementation group D2",condensed chromosome|nucleus|nucleoplasm|Golgi apparatus|intracellular membrane-bounded organelle|,DNA repair|synapsis|gamete generation|response to gamma radiation|,protein binding|DNA polymerase binding|,10,1.5,62.9,10,1.4,77.5,1.4,140,1.2,1.9
ENSG00000112039,FANCE,"Fanconi anemia, complementation group E",nucleus|nucleoplasm|Fanconi anaemia nuclear complex|,DNA repair|,molecular_function|,9,1.5,87.3,9,0.9,44.5,1.4,127,1,1.8
ENSG00000183161,FANCF,"Fanconi anemia, complementation group F",nucleoplasm|Fanconi anaemia nuclear complex|,DNA repair|biological_process|,molecular_function|protein binding|,10,1.3,44.4,10,1.8,38.6,1.2,81.4,1.1,2
ENSG00000221829,FANCG,"Fanconi anemia, complementation group G",nucleoplasm|nucleolus|cytoplasm|mitochondrion|plasma membrane|Fanconi anaemia nuclear complex|,cell cycle checkpoint|ovarian follicle development|DNA repair|mitochondrion organization|spermatid development|response to radiation|,damaged DNA binding|protein binding|,10,1.1,53.6,10,2.2,82.5,1.5,133,1.1,2.4
ENSG00000140525,FANCI,"Fanconi anemia, complementation group I",nucleoplasm|membrane|,DNA repair|cell cycle|positive regulation of protein ubiquitination|,DNA binding|protein binding|DNA polymerase binding|,10,1.8,93.8,10,1.8,90.8,1.8,184,1.3,2.2
ENSG00000115392,FANCL,"Fanconi anemia, complementation group L",nuclear envelope|nucleoplasm|cytoplasm|Fanconi anaemia nuclear complex|,DNA repair|DNA repair|protein monoubiquitination|cellular response to DNA damage stimulus|gamete generation|regulation of cell proliferation|,ubiquitin-protein transferase activity|ubiquitin-protein transferase activity|ubiquitin-protein transferase activity|zinc ion binding|ligase activity|ubiquitin protein ligase binding|,10,1.7,92.9,10,1.4,74.8,1.6,166,1.3,2.1
ENSG00000187790,FANCM,"Fanconi anemia, complementation group M",nucleus|nucleoplasm|Fanconi anaemia nuclear complex|FANCM-MHF complex|,resolution of meiotic recombination intermediates|DNA repair|replication fork processing|nucleic acid phosphodiester bond hydrolysis|,DNA binding|chromatin binding|helicase activity|nuclease activity|protein binding|ATP binding|,10,0.4,4.2,10,1.3,20.8,1,23.7,0.5,1.7
ENSG00000006607,FARP2,"FERM, RhoGEF and pleckstrin domain protein 2",cytoplasm|cytosol|cytoskeleton|extrinsic component of membrane|,cell adhesion|axon guidance|neuron remodeling|Rac protein signal transduction|osteoclast differentiation|actin cytoskeleton reorganization|positive regulation of Rho GTPase activity|positive regulation of Rac GTPase activity|positive regulation of Rac GTPase activity|regulation of integrin activation|semaphorin-plexin signaling pathway|podosome assembly|,Rho guanyl-nucleotide exchange factor activity|cytoskeletal protein binding|Rac guanyl-nucleotide exchange factor activity|,10,0.1,0.0774,10,0,0,0,0,-1.4,1.7
ENSG00000118246,FASTKD2,FAST kinase domains 2,mitochondrion|,protein phosphorylation|cellular respiration|,protein kinase activity|poly(A) RNA binding|,10,-0.3,2.1,10,-1.1,7.31,-0.4,6.79,-1.7,-0.2
ENSG00000198019,FCGR1B,"Fc fragment of IgG, high affinity Ib, receptor (CD64)",plasma membrane|plasma membrane|integral component of membrane|clathrin-coated endocytic vesicle membrane|early endosome membrane|,"antigen processing and presentation of peptide antigen via MHC class I|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|immune response|cytokine-mediated signaling pathway|Fc receptor signaling pathway|antigen processing and presentation of exogenous peptide antigen via MHC class I|interferon-gamma-mediated signaling pathway|",immunoglobulin receptor activity|IgG binding|,7,-1.7,5.91,7,-1,12.4,-1.6,16.1,-2.8,-0.8
ENSG00000070388,FGF22,fibroblast growth factor 22,extracellular region|extracellular space|nucleolus|Golgi apparatus|cell surface|,epidermal growth factor receptor signaling pathway|insulin receptor signaling pathway|fibroblast growth factor receptor signaling pathway|cell differentiation|Fc-epsilon receptor signaling pathway|innate immune response|neurotrophin TRK receptor signaling pathway|phosphatidylinositol-mediated signaling|,fibroblast growth factor receptor binding|growth factor activity|,10,0.1,0.286,10,0.2,0.476,0.2,0.614,-1.3,1.4
ENSG00000154727,GABPA,"GA binding protein transcription factor, alpha subunit 60kDa",nuclear chromatin|nucleus|,negative regulation of transcription from RNA polymerase II promoter|in utero embryonic development|transcription from RNA polymerase II promoter|cell differentiation|negative regulation of megakaryocyte differentiation|positive regulation of transcription from RNA polymerase II promoter|,RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|DNA binding|chromatin binding|sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|transcription regulatory region DNA binding|protein heterodimerization activity|,9,-3.9,21.5,9,-1.8,45.1,-3.8,60.1,-7,-2
ENSG00000156052,GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",cytoplasm|lysosomal membrane|heterotrimeric G-protein complex|plasma membrane|nuclear membrane|extracellular vesicular exosome|,skeletal system development|action potential|GTP catabolic process|negative regulation of protein kinase activity|adenylate cyclase-activating G-protein coupled receptor signaling pathway|activation of phospholipase C activity|glutamate receptor signaling pathway|heart development|blood coagulation|post-embryonic development|neuron remodeling|forebrain neuron development|platelet activation|regulation of catenin import into nucleus|maternal behavior|embryonic digit morphogenesis|positive regulation of GTPase activity|regulation of melanocyte differentiation|developmental pigmentation|protein stabilization|phospholipase C-activating dopamine receptor signaling pathway|,GTPase activity|signal transducer activity|GTPase activator activity|protein binding|GTP binding|G-protein beta/gamma-subunit complex binding|type 2A serotonin receptor binding|metal ion binding|,10,0.2,1.01,10,0,0,0.1,0.802,-1.2,1.6
ENSG00000151806,GUF1,GUF1 GTPase homolog (S. cerevisiae),mitochondrial inner membrane|mitochondrial matrix|,GTP catabolic process|translation|positive regulation of translation|,GTPase activity|GTP binding|ribosome binding|,10,-0.2,0.909,10,0.1,0.364,-0.1,0.222,-1.5,1.4
ENSG00000213397,HAUS7,"HAUS augmin-like complex, subunit 7",nucleolus|cytoplasm|centrosome|spindle|microtubule|plasma membrane|HAUS complex|,mitotic nuclear division|spindle assembly|centrosome organization|,thioesterase binding|thioesterase binding|,10,-0.2,2.22,10,-0.7,3.49,-0.7,4.68,-1.9,0.5
ENSG00000130021,HDHD1,haloacid dehalogenase-like hydrolase domain containing 1,extracellular vesicular exosome|,biological_process|nucleotide metabolic process|dephosphorylation|,molecular_function|phosphatase activity|metal ion binding|,10,0,0,10,1,8.16,1,5,0.1,1.9
ENSG00000092148,HECTD1,HECT domain containing E3 ubiquitin protein ligase 1,nucleus|cytoplasm|,neural tube closure|protein ubiquitination involved in ubiquitin-dependent protein catabolic process|,ubiquitin-protein transferase activity|protein binding|ligase activity|metal ion binding|,10,-1.2,24.5,10,-0.7,24.4,-0.7,46.4,-1.3,-0.5
ENSG00000179097,HTR1F,"5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled",plasma membrane|integral component of plasma membrane|,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger|adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway|serotonin receptor signaling pathway|serotonin receptor signaling pathway|serotonin receptor signaling pathway|synaptic transmission|",serotonin receptor activity|serotonin receptor activity|serotonin binding|,10,0.9,17.8,10,0.3,4.66,0.7,18.1,0.3,1.3
ENSG00000211649,IGLV7-46,immunoglobulin lambda variable 7-46 (gene/pseudogene),None,None,None,10,-2,2.92,10,0.4,5.61,0.4,7.85,-1.6,2
ENSG00000128908,INO80,INO80 complex subunit,nucleus|microtubule|Ino80 complex|,mitotic sister chromatid segregation|double-strand break repair via homologous recombination|ATP catabolic process|double-strand break repair|chromatin remodeling|positive regulation of nuclear cell cycle DNA replication|positive regulation of cell growth|DNA duplex unwinding|cellular response to UV|positive regulation of transcription from RNA polymerase II promoter|spindle assembly|UV-damage excision repair|cellular response to ionizing radiation|regulation of G1/S transition of mitotic cell cycle|,DNA binding|DNA helicase activity|actin binding|protein binding|ATP binding|ATPase activity|alpha-tubulin binding|,10,0,0,10,0.2,0.84,0.2,0.436,-1.2,1.7
ENSG00000169592,INO80E,INO80 complex subunit E,nucleus|nucleolus|Ino80 complex|,"DNA replication|DNA repair|DNA recombination|transcription, DNA-templated|regulation of transcription, DNA-templated|",protein binding|,10,-0.1,0.179,10,-0.3,3.12,-0.2,2.75,-1.7,0.7
ENSG00000198001,IRAK4,interleukin-1 receptor-associated kinase 4,cytosol|plasma membrane|endosome membrane|,cytokine production|toll-like receptor signaling pathway|MyD88-dependent toll-like receptor signaling pathway|protein phosphorylation|JNK cascade|cytokine-mediated signaling pathway|toll-like receptor 2 signaling pathway|toll-like receptor 4 signaling pathway|toll-like receptor 5 signaling pathway|toll-like receptor 9 signaling pathway|toll-like receptor 10 signaling pathway|toll-like receptor TLR1:TLR2 signaling pathway|toll-like receptor TLR6:TLR2 signaling pathway|positive regulation of I-kappaB kinase/NF-kappaB signaling|innate immune response|positive regulation of transcription from RNA polymerase II promoter|positive regulation of smooth muscle cell proliferation|,magnesium ion binding|protein kinase activity|protein serine/threonine kinase activity|protein serine/threonine kinase activity|interleukin-1 receptor binding|protein binding|ATP binding|,10,0.1,0.599,10,0.2,1.88,0.2,2.22,-0.6,1.5
ENSG00000184185,KCNJ12,"potassium inwardly-rectifying channel, subfamily J, member 12",plasma membrane|integral component of membrane|intrinsic component of membrane|,potassium ion transport|muscle contraction|synaptic transmission|regulation of heart contraction|regulation of ion transmembrane transport|protein homotetramerization|potassium ion transmembrane transport|potassium ion transmembrane transport|,inward rectifier potassium channel activity|,10,-0.1,0.154,10,0.2,1.37,0.2,1.1,-1.3,1.4
ENSG00000118162,KPTN,kaptin (actin binding protein),nucleus|microtubule organizing center|actin cytoskeleton|growth cone|stereocilium|perinuclear region of cytoplasm|,cellular component movement|actin filament organization|sensory perception of sound|,actin binding|,10,0.6,13.6,10,0.6,14.9,0.6,28.1,0.4,0.9
ENSG00000241241,KRTAP4-16P,"keratin associated protein 4-16, pseudogene",None,None,None,10,0.3,2.74,10,0.1,0.674,0.3,2.69,-0.7,1.7
ENSG00000133067,LGR6,leucine-rich repeat containing G protein-coupled receptor 6,integral component of plasma membrane|vesicle|trans-Golgi network membrane|,G-protein coupled receptor signaling pathway|Wnt signaling pathway|positive regulation of Wnt signaling pathway|positive regulation of cell migration|positive regulation of canonical Wnt signaling pathway|,transmembrane signaling receptor activity|protein binding|,10,0.4,4.63,10,0.8,2.21,0.7,6.34,0.1,1.5
